usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,verbatim_name,acceptedUsageKey
5594382,Tetradium daniellii (Benn.) T.G.Hartley,Tetradium daniellii,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Sapindales,Rutaceae,Tetradium,Tetradium daniellii,6,7707728,220,933,2396,3232955,5594382,FALSE,Magnoliopsida,Tetradium daniellii,NA
3024256,Exochorda racemosa (Lindl.) Rehder,Exochorda racemosa,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Exochorda,Exochorda racemosa,6,7707728,220,691,5015,3024249,3024256,FALSE,Magnoliopsida,Exochorda racemosa,NA
2882274,Fagus grandifolia Ehrh.,Fagus grandifolia,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Fagales,Fagaceae,Fagus,Fagus grandifolia,6,7707728,220,1354,4689,2874875,2882274,FALSE,Magnoliopsida,Fagus grandifolia,NA
2882316,Fagus sylvatica L.,Fagus sylvatica,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Fagales,Fagaceae,Fagus,Fagus sylvatica,6,7707728,220,1354,4689,2874875,2882316,FALSE,Magnoliopsida,Fagus sylvatica,NA
5361923,Ficus aurea Nutt.,Ficus aurea,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus aurea,6,7707728,220,691,6640,2984588,5361923,FALSE,Magnoliopsida,Ficus aurea,NA
5571773,Ficus auriculata Lour.,Ficus auriculata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus auriculata,6,7707728,220,691,6640,2984588,5571773,FALSE,Magnoliopsida,Ficus auriculata,NA
5361932,Ficus benjamina L.,Ficus benjamina,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus benjamina,6,7707728,220,691,6640,2984588,5361932,FALSE,Magnoliopsida,Ficus benjamina,NA
5361909,Ficus carica L.,Ficus carica,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus carica,6,7707728,220,691,6640,2984588,5361909,FALSE,Magnoliopsida,Ficus carica,NA
7835333,Ficus elastica Roxb.,Ficus elastica,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus elastica,6,7707728,220,691,6640,2984588,7835333,FALSE,Magnoliopsida,Ficus elastica,NA
5361899,Ficus lyrata Warb.,Ficus lyrata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus lyrata,6,7707728,220,691,6640,2984588,5361899,FALSE,Magnoliopsida,Ficus lyrata,NA
5570636,Ficus macrophylla Pers.,Ficus macrophylla,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus macrophylla,6,7707728,220,691,6640,2984588,5570636,FALSE,Magnoliopsida,Ficus macrophylla,NA
7467639,Ficus microcarpa L.fil.,Ficus microcarpa,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Rosales,Moraceae,Ficus,Ficus microcarpa,6,7707728,220,691,6640,2984588,7467639,FALSE,Magnoliopsida,Ficus microcarpa,NA
