scientific_name,tree_id,common_name,status,selectree_url
Acer saccharum subsp. grandidentatum,53,WASATCH MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/53
Acer japonicum 'Aconitifolium',56,MONKSHOOD LEAVED FULLMOON MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/56
Acer saccharum subsp. leucoderme,57,WHITEBARK MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/57
Acer macrophyllum,58,OREGON MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/58
Acer caudatifolium,59,FORMOSAN MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/59
Acer caudatifolium,59,snake bark maple,Existing,https://selectree.calpoly.edu/tree-detail/59
Acer oblongum,65,SMOOTH LEAF MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/65
Acer oblongum,65,FLYING MOTH MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/65
Acer palmatum 'Ornatum',73,ORNATUM JAPANESE MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/73
Acer palmatum 'Sango Kaku',75,CORAL BACK JAPANESE MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/75
Acer palmatum 'Sango Kaku',75,SANGO KAKU JAPANESE MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/75
Acer pseudoplatanus 'Atropurpureum',99,wineleaf sycamore maple,Existing,https://selectree.calpoly.edu/tree-detail/99
Acer rubrum,100,SCARLET MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/100
Acer rubrum,100,SWAMP RED MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/100
Acer saccharinum,111,SILVER LEAF MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/111
Acer saccharinum,111,WATER MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/111
Acer saccharinum 'Wieri',115,CUTLEAF SILVER MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/115
Acer truncatum,126,PURPLEBLOW MAPLE,Existing,https://selectree.calpoly.edu/tree-detail/126
Syzygium smithii,127,NARROW LEAVED LILLY PILLY,Existing,https://selectree.calpoly.edu/tree-detail/127
Acoelorrhaphe wrightii,128,EVERGLADES PALM,Existing,https://selectree.calpoly.edu/tree-detail/128
Acoelorrhaphe wrightii,128,SILVER SAW PALM,Existing,https://selectree.calpoly.edu/tree-detail/128
Acoelorrhaphe wrightii,128,WRIGHT PALM,Existing,https://selectree.calpoly.edu/tree-detail/128
Acrocomia aculeata,131,GRU GRU PALM,Existing,https://selectree.calpoly.edu/tree-detail/131
Acrocomia aculeata,131,MACAUBA PALM,Existing,https://selectree.calpoly.edu/tree-detail/131
Acrocomia aculeata,131,COYOL PALM,Existing,https://selectree.calpoly.edu/tree-detail/131
Aesculus californica,132,CALIFORNIA HORSE CHESTNUT,Existing,https://selectree.calpoly.edu/tree-detail/132
Aesculus flava,136,SWEET BUCKEYE,Existing,https://selectree.calpoly.edu/tree-detail/136
Aesculus glabra,137,FETID BUCKEYE,Existing,https://selectree.calpoly.edu/tree-detail/137
Aesculus glabra,137,STINKING BUCKEYE,Existing,https://selectree.calpoly.edu/tree-detail/137
Aesculus pavia,141,SCARLET BUCKEYE,Existing,https://selectree.calpoly.edu/tree-detail/141
Aesculus pavia,141,FIRECRACKER PLANT,Existing,https://selectree.calpoly.edu/tree-detail/141
Agathis robusta,142,SMOOTH BARKED KAURI,Existing,https://selectree.calpoly.edu/tree-detail/142
Agonis flexuosa,143,WILLOW MYRTLE,Existing,https://selectree.calpoly.edu/tree-detail/143
Ailanthus altissima,145,Tree of Heaven,Existing,https://selectree.calpoly.edu/tree-detail/145
Paraserianthes lophantha,146,CAPE LEEUWIN WATTLE,Existing,https://selectree.calpoly.edu/tree-detail/146
Albizia julibrissin 'Rosea',149,ROSEA MIMOSA,Existing,https://selectree.calpoly.edu/tree-detail/149
Alnus glutinosa,151,COMMON ALDER,Existing,https://selectree.calpoly.edu/tree-detail/151
Alnus glutinosa 'Pyramidalis',152,PYRAMIDALIS COMMON ALDER,Existing,https://selectree.calpoly.edu/tree-detail/152
